url,use_of_ip,abnormal_url,count_.,count_www,count_@,count_dir,count_embed_domain,short_url,count%,count?,count-,count=,url_length,count_https,count_http,hostname_length,sus_url,fd_length,tld_length,count_digits,count_letters,type_code
peteinfoshare.blogspot.com/,0,0,2,0,0,1,0,1,0,0,0,0,27,0,0,0,0,0,-1,0,24,0
http://106.15.183.184,0,1,3,0,0,0,0,0,0,0,0,0,21,0,1,14,0,0,-1,11,4,0
http://43.156.0.130/v3/signin/identifier?dsh=S536876283:1679130036497906&amp;followup=https://accounts.google.com/&amp;ifkv=AWnogHfrcMjMJOA5-x4JjU2A_H62FL5Ipip8qUn0FfsVqhu1vrUBPxBl4JpnqCjPGKNrTfaShVnNJQ&amp;passive=1209600&amp;continue=https://accounts.google.com/&amp;flowName=WebLiteSignIn&amp;flowEntry=ServiceLogin&amp;ifkv=AWnogHc4PeFX33yvdiAFBtaL-JBAffuk5JoQQy_Mh2pwQ3Vm2WZDrUszOnx40Wo5cx_v0Tn-km5KAw,1,1,7,0,0,3,0,0,0,1,3,8,406,2,3,12,1,2,-1,64,291,0
youtube.com/watch?v=-WiNbw79hJw,0,0,1,0,0,1,0,0,0,1,1,1,31,0,0,0,0,5,-1,2,24,0
alkond.com/Copy.php,0,0,2,0,0,1,0,0,0,0,0,0,19,0,0,0,0,8,-1,0,16,0
investing.businessweek.com/research/stocks/snapshot/snapshot.asp?capId=4249673,0,0,3,0,0,4,0,0,0,1,0,1,78,0,0,0,0,8,-1,7,62,0
navy.mil/search/display.asp?story_id=54352,0,0,2,0,0,2,0,0,0,1,0,1,42,0,0,0,0,6,-1,5,30,0
bbb.org/western-washington/business-reviews/cabinet-manufacturer/rasero-industries-in-hobart-wa-22523512,0,0,1,0,0,4,0,0,0,0,8,0,104,0,0,0,0,18,-1,8,83,0
educationforum.ipbhost.com/index.php?showtopic=7821,0,0,3,0,0,1,0,1,0,1,0,1,51,0,0,0,0,9,-1,4,41,0
https://pub-9d55c37289ba44d9b816b8d1a7ecdfdc.r2.dev/USER230.html,0,1,3,0,0,1,0,0,0,0,1,0,64,1,1,43,0,12,6,21,35,0
https://new.express.adobe.com/webpage/k0atNmF9rCjcO,0,1,3,0,0,2,0,0,0,0,0,0,51,1,1,21,0,7,3,2,41,0
zoominfo.com/people/Guite_Anne_608441597.aspx,0,0,2,0,0,2,0,0,0,0,0,0,45,0,0,0,0,6,-1,9,30,0
theglobeandmail.com/news/national/quebec-publisher-may-cutler-had-a-fierce-determination-to-succeed/article1933288/,0,0,1,0,0,5,0,0,0,0,9,0,115,0,0,0,0,4,-1,7,93,0
123people.com/a/nancy+chagnon,0,0,1,0,0,2,0,0,0,0,0,0,29,0,0,0,0,1,-1,3,22,0
www.simpleseotechniques.com/~asbestos/paypal.com.home.cgi-bin.webscr.login.conf.submit.submit.dispatch/,0,0,11,1,0,3,0,0,0,0,1,0,103,0,0,0,1,9,-1,0,87,0
http://www.school91.kiev.ua/index.php?view=article&catid=38:2010-10-09-15-56-39&id=205:1-&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=117,0,1,4,1,0,1,0,0,0,1,6,9,163,0,1,20,0,9,7,26,102,1
thepratergroupllc.com/images/remax/remax/,0,0,1,0,0,4,0,0,0,0,0,0,41,0,0,0,0,6,-1,0,36,0
irelandstoves.com/,0,0,1,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,-1,0,16,0
adweek.com/adfreak/stride-challenges-you-break-records-long-lasting-activities-132791,0,0,1,0,0,2,0,0,0,0,8,0,85,0,0,0,0,7,-1,6,68,0
medical-dictionary.thefreedictionary.com/neuraxis,0,0,2,0,0,1,0,0,0,0,1,0,49,0,0,0,1,8,-1,0,45,0
ocvarsity.freedomblogging.com/2011/05/11/baseball-jserra-infielder-headed-to-asu/173283/,0,0,2,0,0,6,0,0,0,0,5,0,88,0,0,0,1,4,-1,14,61,0
https://l.ead.me/bfXD85,0,1,2,0,0,1,0,0,0,0,0,0,23,1,1,8,0,6,2,2,15,0
lorenzo-lamas.com/body_index.html,0,0,2,0,0,1,0,0,0,0,1,0,33,0,0,0,0,15,-1,0,28,0
paypal.com.cgi-bin.logincmd5645548.syut.tv/Paypal/update/www.paypal.com/,0,0,7,1,0,4,0,0,0,0,1,0,72,0,0,0,1,6,-1,7,53,0
rhodeisland.sla.org,0,0,2,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,-1,0,17,1
oursportscentral.com/services/releases/?id=4280500,0,0,1,0,0,3,0,0,0,1,0,1,50,0,0,0,1,8,-1,7,37,0
xpllogistics.com,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,-1,0,15,1
albertbakerfund.org/about-us/,0,0,1,0,0,2,0,0,0,0,1,0,29,0,0,0,0,8,-1,0,25,0
http://bank-of-america-secure00.dns05.com/boa/c66f4400c66259105a6f2cda99cc5f41/mobile/login.php?userid=,0,1,3,0,0,4,0,0,0,1,3,1,103,0,1,34,1,3,3,25,63,1
australiantelevision.net/ship-to-shore/cast.html,0,0,2,0,0,2,0,0,0,0,2,0,48,0,0,0,0,13,-1,0,42,0
youtube.com/watch?v=V0aI2nEeEHQ,0,0,1,0,0,1,0,0,0,1,0,1,31,0,0,0,0,5,-1,2,25,0
www.koko-art.com.pl/9030742486/64853648980/,0,0,3,1,0,3,0,1,0,0,1,0,43,0,0,0,0,10,-1,21,15,0
http://www.akordeonlublin.pl/components/com_expose/expose.html,0,1,3,1,0,3,0,0,0,0,0,0,62,0,1,21,0,10,2,0,52,1
http://www.bissfest-marburg.de/catering-marburg.pdf,0,1,3,1,0,1,0,0,0,0,2,0,51,0,1,23,0,20,2,0,42,1
travela.priceline.com/montreal-marriott-chateau-champlain-montreal-quebec-qc-174183-hd.hotel-reviews-hotel-guides,0,0,3,0,0,1,0,0,0,0,11,0,113,0,0,0,0,91,-1,6,92,0
https://away.vk.com/away.php?rh=52c8ee29-7b62-4ac4-bb5a-e8fff07b7294,0,1,3,0,0,1,0,0,0,1,4,1,68,1,1,11,0,8,3,18,37,0
www.incrediblecharts.com/forums/messages/board-topics.html,0,0,3,1,0,3,0,0,0,0,1,0,58,0,0,0,0,6,-1,0,51,1
http://198.12.66.107/DefaultValueUAxhkNa.exe,1,1,4,0,0,1,0,0,0,0,0,0,44,0,1,13,0,23,-1,10,26,1
http://www.surfgadget.com/high-power-wifi-adapter.html?page=shop.browse&manufacturer_id=27,0,1,4,1,0,1,0,1,0,1,3,2,90,0,1,18,0,28,3,2,72,1
washingtonexaminer.com/blogs/yeas-nays/2011/11/americas-most-wanted-returns-december,0,0,1,0,0,5,0,0,0,0,5,0,84,0,0,0,0,5,-1,6,67,0
http://www.wuesthof-gladiator.de/index.php?option=com_content&view=article&id=58&Itemid=86,0,1,3,1,0,1,0,0,0,1,1,4,90,0,1,25,0,9,2,4,69,1
membres.multimania.fr/oxygene1/index_uk.htm,0,0,3,0,0,2,0,0,0,0,0,0,43,0,0,0,0,8,-1,1,36,1
https://eu.jotform.com/app/252424606896364,0,1,2,0,0,2,0,0,0,0,0,0,42,1,1,14,0,3,3,15,20,0
www.cnwaxpd.com/js/?app=com-d3&us.battle.net/login/en/?ref=us.battle.net/d3/en/index,0,0,6,1,0,2,0,0,0,2,1,2,84,0,0,0,1,2,-1,2,62,0
ovguide.com/movies_tv/quebec.htm,0,0,2,0,0,2,0,0,0,0,0,0,32,0,0,0,0,9,-1,0,27,0
www.fh-jena.de/~kleine/history/,0,0,2,1,0,3,0,0,0,0,1,0,31,0,0,0,0,7,-1,0,24,1
www.dyasdesigns.com/roleplay/LostWorlds/,0,0,2,1,0,3,0,0,0,0,0,0,40,0,0,0,0,8,-1,0,35,1
crazyhorseparis.com.au,0,0,2,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,-1,0,20,1
ratcitymovie.com/betasite/?page_id=3,0,0,1,0,0,2,0,0,0,1,0,1,36,0,0,0,0,8,-1,1,29,0
allrovi.com/?r=redirect,0,0,1,0,0,1,0,0,0,1,0,1,23,0,0,0,0,0,-1,0,19,0
http://125.41.142.143:49465/bin.sh,0,1,4,0,0,1,0,0,0,0,0,0,34,0,1,20,0,6,-1,16,9,1
www-306.ibm.com/software/awdtools/cobol/,0,0,2,1,0,4,0,0,0,0,1,0,40,0,0,0,0,8,-1,3,30,1
https://bit.ly/3Y1meXg,0,1,1,0,0,1,0,1,0,0,0,0,22,1,1,6,0,7,2,2,15,0
luv2bid.com/articles/garagesaletips.htm,0,0,2,0,0,2,0,0,0,0,0,0,39,0,0,0,0,8,-1,1,34,0
vo2ov.com/Lhasa-de-Sela-Lhasa-2009-_149003.html,0,0,2,0,0,1,0,0,0,0,5,0,47,0,0,0,0,37,-1,11,27,0
horiwood.com/2011/11/13/shane-cameron-and-monty-betham-are-match-fit-for-fierce-boxing-bout/,0,0,1,0,0,5,0,0,0,0,11,0,92,0,0,0,0,4,-1,8,67,0
facebook.com/people/Noah-Rubins/100000101161870,0,0,1,0,0,3,0,0,0,0,1,0,47,0,0,0,0,6,-1,15,27,0
sportsillustrated.cnn.com/vault/topic/article/Steve_Dubinsky/1900-01-01/2100-12-31/mdd/index.htm,0,0,3,0,0,8,0,0,0,0,4,0,96,0,0,0,0,5,-1,16,64,0
kw.com/homes-for-sale/28751/NC/Maggie-Valley/427-Country-Club-Drive/3yd-WNCRMLS-457714.html,0,0,2,0,0,6,0,0,0,0,8,0,91,0,0,0,0,14,-1,15,60,0
content.usatoday.com/topics/more+articles/Kansas+City+Star,0,0,2,0,0,3,0,0,0,0,0,0,58,0,0,0,0,6,-1,0,50,0
update-information007.bjit.com.au/Thanks.html?/cgi-bin/webscr?cmd=_login-processing&login_cmd=_login-done&login_access=1323629071,0,0,4,0,0,1,0,1,0,2,4,3,129,0,0,0,1,11,-1,13,94,0
http://www.nokas-teknik.se/index.php?option=com_content&view=article&id=4&Itemid=12,0,1,3,1,0,1,0,0,0,1,1,4,83,0,1,19,0,9,2,3,63,1
https://raw.githubusercontent.com/VetiGoders/lavidaloca/refs/heads/main/josh.exe,0,1,3,0,0,6,0,1,0,0,0,0,80,1,1,25,0,10,21,0,68,1
www.tnpsc.com/ssaver/momsday.htm,0,0,3,1,0,2,0,0,0,0,0,0,32,0,0,0,0,6,-1,0,27,1
paypal.com.cgi.bin.bb570c8713a0a5e9a5c1ed51ffa731e0.tardas.com.tr/update/secure/672bfcaa73dbfe28bff5bc77604084fa/dc523e0dd7e1f4ae124af493475d425a/,0,0,7,0,0,5,0,0,0,0,0,0,146,0,0,0,1,6,-1,53,81,0
https://acepl.net.au/NT/Ufejlbare184.hhp,0,1,3,0,0,2,0,0,0,0,0,0,40,1,1,12,0,2,6,3,29,0
https://aarmacdecorators.co.uk/?u=script,0,1,2,0,0,1,0,0,0,1,0,1,40,1,1,22,0,0,5,0,32,0
https://ipfs.best-practice.se/ipfs/bafybeide7wd73e7bn26m7l6xpinh54q5si4pgzjyedohnrfbscchaqolnq/,0,1,2,0,0,3,0,0,0,0,1,0,95,1,1,21,0,4,2,12,74,0
http://www.realshamballabracelets.co.uk/image/data/shamballa/index.php?_nfpb=change_form,0,1,4,1,0,4,0,0,0,1,0,1,88,0,1,32,0,5,5,0,73,1
oss.sgi.com/projects/kdb/,0,0,2,0,0,3,0,0,0,0,0,0,25,0,0,0,0,8,-1,0,20,1
thefreedictionary.com/FUO,0,0,1,0,0,1,0,0,0,0,0,0,25,0,0,0,1,3,-1,0,23,0
http://depositphotos.com/12394114/stock-photo-delicious-eggs-served-for-breakfast.html,0,1,2,0,0,2,0,0,0,0,6,0,86,0,1,17,0,8,3,8,65,0
didntplanet.com/,0,0,1,0,0,1,0,1,0,0,0,0,16,0,0,0,0,0,-1,0,14,0
